Key,English,Spanish,French
Start,Start,Comenzar,Début
RollDice,Roll the Dice,Tirar los dados,Lancer les dés
Rolled,Rolled,Enrollado,Roulé
Excited,EXCITED,EMOCIONADO,EXCITÉ
Angry,ANGRY,ENOJADO,EN COLÈRE
Happy,HAPPY,FELIZ,CONTENT
Nervous,NERVOUS,NERVIOSO,NERVEUX
Embarrased,EMBARRASED,AVERGONZADO,EMBARRASSÉ
Surprised,SURPRISED,SORPRENDIDO,SURPRIS
Frightened,FRIGHTENED,ASUSTADO,EFFRAYÉ
Proud,PROUD,ORGULLOSO,FIER
Jealous,JEALOUS,CELOSO,JALOUX
Sad,SAD,AHORA,TRISTE
Frustrated,FRUSTRATED,FRUSTRADO,FRUSTRÉ
Pleased,PLEASED,SATISFECHO,HEUREUX
Scared,SCARED,ASUSTADO,EFFRAYÉ
Ashamed,ASHAMED,AVERGONZADO,HONTEUX
Special,SPECIAL,ESPECIAL,SPÉCIAL
Mad,MAD,LOCO,FURIEUX
Shy,SHY,TÍMIDO,TIMIDE
Shocked,SHOCKED,SORPRENDIDO,CHOQUÉ
Funny,FUNNY,DIVERTIDO,DRÔLE
Lonely,LONELY,SOLITARIO,SOLITAIRE
Hurt,HURT,LASTIMADO,BLESSER
Mean,MEAN,MALA,SIGNIFIER
Grumpy,GRUMPY,GRUÑÓN,GRINCHEUX
Unhappy,UNHAPPY,INFELIZ,MALHEUREUX
Good,GOOD,BUENO,BIEN
Winner,Winner,Ganador,Gagnant
Talk,Talk about ,Hablar de,Parler de
Finish,FINISH,TERMINAR,TERMINER
Click,Click to Continue,Click para Continuar,Cliquez pour Continuer
