Key,English,French,Portuguese(pt_BR)
EndGame,End Game,Fin du jeu,Fim de Jogo
EndTurn,End Turn,Fin tour,Fim de Turno
FourFishAllBreak,Catch four fish.,Pêchez quatre poissons.,Pesque quatro peixes
FourFishNoBreak,Catch Four Fish.,Pêchez Quatre Poissons.,Pesque quatro peixes
GoBackNoBreak,Go back to bridge.,Retournez au pont.,Volte à ponte
GoHomeNoBreak,Go home for lunch.,Allez diner à la maison.,Vá para casa almoçar
Home,Home Let's Go Fishing!,"Accueil Allons pêcher!",Vamos pescar
Hungry,You're Hungry! Go home for Lunch.,Tu as faim! Allez à la maison pour diner.,Almoço
Inventory,My Pail,Mon Pail,Meu Pail
MyFish,My Fish,Mon Poisson,Meu peixe
NoFish,No Fishing here! Roll Again.,Pas de pêche ici! Roulez encore,Não pesque aqui! Jogue de novo
NoFishGoBack,No fishing! Go back to bridge.,Pas de pêche ici! Retournez au Pont,Não pesque aqui! Volte à ponte
OneFishBreak,Catch one fish.,Pêchez un poisson.,Pesque um peixe
OneFishNoBreak,Catch one fish.,Pêchez un poisson.,Pesque um peixe.
PailTip,The pail tips over! Lose one fish.,Le seau ce renverse. Perdez un poisson.,O balde caiu! Perca um peixe
PailTipNoBreak,Lose one fish.,Perdez un poisson.,Perca um peixe
RecentCatch,Recent Catch,Prise récente,Ultimo pescado
RollDice,Roll Dice,Roulez les dés,Role o dado
Rolled,Rolled,Roulez,Rolado
RollTheDice,Roll the Dice!,Roulez le dé,Role o dado!
ThreeFishBreak,Catch three fish.,Pêchez trois poissons.,Pesque três peixes
ThreeFishNoBreak,Catch three fish.,Pêchez trois poissons.,Pesque três peixes
ThrowBack,Catch two fish & throw one back,Pêchez deux poissons & jetez en un,Pesque um peixe e devolva um
ChooseFish,Click to throw one back,Click to jetez en un,Click to devolva um
Thrown,Thrown,Jetez,Arremesse
TwoFishAllBreak,Catch two fish.,Pêchez deux poissons.,Pesque dois peixes
TwoFishBreak,Catch two fish.,Pêchez deux poissons.,Pesque dois peixes
TwoFishNoBreak,Catch Two Fish.,Pêchez Deux Poissons.,Pesque dois peixes
TwoFishThrowOne,Catch two fish. Throw one back.,Pêchez deux poissons. Jetez en un,Pesque dois peixes. Devolva um
Walk,Walk to the bridge.,Marchez jusqu'au pont.,Ande até a ponte
WalkNoBreak,Walk to the Bridge.,Marchez jusqu'au pont.,Ande até a ponte
,,,
Card1,Angry,En colère,Irritado
Card2,Ashamed,Honteux,Envergonhado
Card3,Bad,Mal,Mau
Card4,Bored,Ennuyé,Entendiado
Card5,Bullied,Intimidé,Intimidado
Card6,Confused,Confus,Confuso
Card7,Cool,Cool,Tranquilo
Card8,Cruel,Cruel,Cruel
Card9,Disappointed,Désappointé,Desapontado
Card10,Disgusted,Dégoûté,Enojado
Card11,Embarrassed,Embarassé,Constrangido
Card12,Frightened,Appeuré,Assustado
Card13,Frustrated,Frustré,Frustrado
Card14,Funny,Drôle,Engraçado
Card15,Good,Bon,Bom
Feeling_Grumpy,Grumpy,Grincheux,Rabujento
Feeling_Happy,Happy,Joyeux,Feliz
Feeling_Horrible,Horrible,Horrible,Horrível
Feeling_Hurt,Hurt,Blessé,Machucado
Feeling_Insulted,Insulted,Insulté,Insultado
Feeling_Interested,Interested,Intéressé,Interessado
Feeling_Jealous,Jealous,Jaloux,Enciumado
Feeling_LeftOut,Left Out,Exclu,Abandonado
Feeling_Lonely,Lonely,Seul,Solitário
Feeling_Loving,Loving,Amoureux,Apaixonado
Feeling_Lucky,Lucky,Chanceux,Sortudo
Feeling_Mad,Mad,Furieux,Bravo
Feeling_Mean,Mean,Méchant,Malvado
Feeling_Miserable,Miserable,Misérable,Miserável
Feeling_Nervous,Nervous,Nerveux,Nervoso
Feeling_Proud,Proud,Fière,Orgulhoso
Feeling_Restless,Restless,Agité,Inquieto
Feeling_Sad,Sad,Triste,Triste
Feeling_Scared,Scared,Effrayé,Assustado
Feeling_Shocked,Shocked,Choqué,Chocado
Feeling_Shy,Shy,Timide,Tímido
Feeling_Sick,Sick,Malade,Doente
Feeling_Sorry,Sorry,Désolé,Arrependido
Feeling_Surprised,Suprised,Surpris,Surpreso
Feeling_Tired,Tired,Fatgué,Cansado
Feeling_Unhappy,Unhappy,Malheureux,Infeliz
Feeling_Unloved,Unloved,Mal-aimé,Não-amado
Feeling_Whiny,Whiny,Chialeux,Birrento
Feeling_Worried,Worried,Inquiet,Preocupado
