Key,English,French,Spanish,Arabic,Chinese Simplified,Chinese Traditonal,Japanese,Hebrew
PlaySpace1,Start,Début,Comienzo,بداية,开始,開始,開始,הַתחָלָה
PlaySpace2,Roll Again,Roulez Encore,Lanza otra vez,أدره مرة أخرى,再次滚动,再次滾動,再びロールバックする,להתגלגל שוב
PlaySpace3,Non-violence,La non-violence,No violencia,اللاعنف,非暴力,非暴力,非暴力,אי-אלימות
PlaySpace4,Pride,Fierté,Orgullo,فخر,自豪,自豪,誇り,גאווה
PlaySpace5,Good Luck,Bonne chance,Buena suerte,حظا طيبا وفقك الله,祝你好运,祝你好運,がんばろう,בהצלחה
PlaySpace6,Trustworthy,Digne de confiance,Confiable,جدير بالثقة,可靠,可靠,信頼できる,אָמִין
PlaySpace7,Trouble,Difficulté,Problema,مشكلة,麻烦,麻煩,トラブル,צרות
PlaySpace8,Loyalty,Fidélité,Lealtad,وفاء,忠诚,忠誠,ロイヤリティー,נֶאֱמָנוּת
PlaySpace9,Co-operation,La coopération,Cooperación,تعاون,合作,合作,協力,שיתוף פעולה
PlaySpace10,Roll Again,Roulez Encore,Lanza otra vez,أدره مرة أخرى,再次滚动,再次滾動,再びロールバックする,להתגלגל שוב
PlaySpace11,Lonely,solitaire,Solitario,وحيد,孤独,孤獨,寂しい,בּוֹדֵד
PlaySpace12,Kindness,La gentillesse,Amabilidad,لطف,善良,善良,親切,חסד
PlaySpace13,Blank,Blank,Blank,Blank,Blank,空白,ブランク,רֵיק
PlaySpace14,Peace,Paix,Paz,سلام,和平,和平,平和,שָׁלוֹם
PlaySpace15,Lazy,Paresseux,Perezoso,كسول,懒,懶,レイジー,עָצֵל
PlaySpace16,Loss,Perte,Pérdida,خسارة,失利,失利,損失,הֶפסֵד
PlaySpace17,Courage,Courage,Valor,شجاعة,勇气,勇氣,勇気,אומץ
PlaySpace18,Vanity,Vanité,vanidad,الغرور,虚荣,虛榮,バニティ,הֶבֶל
PlaySpace19,Bad Luck,Malchance,Mala suerte,حظ سيء,厄运,厄運,不運,מזל רע
