Key,English,French
PlaySpace1_1,Start,Début
PlaySpace1_2,,
PlaySpace2_1,Good Luck,Bonne chance
PlaySpace2_2,,
PlaySpace3_1,Self Esteem,Amour propre
PlaySpace3_2,Looking Good,Vous cherchez bien
PlaySpace4_1,,
PlaySpace4_2,Skill,Compétence
PlaySpace5_1,Danger,Danger
PlaySpace5_2,Brake Trouble,Problème de frein
PlaySpace6_1,,
PlaySpace6_2,Praise,Louange
PlaySpace7_1,,
PlaySpace7_2,Make a Wish,Faire un vœu
PlaySpace8_1,,
PlaySpace8_2,Friends & Good Times,Amis et bons moments
PlaySpace9_1,,
PlaySpace9_2,Blown Tire,Pneu soufflé
PlaySpace10_1,,
PlaySpace10_2,Power,Puissance
PlaySpace11_1,Roll Again,Recommencez
PlaySpace11_2,Happy Day,Bonne journée
PlaySpace12_1,,
PlaySpace12_2,Engine Trouble,Un problème de moteur
PlaySpace13_1,,
PlaySpace13_2,Hope,Espérer
PlaySpace14_1,,
PlaySpace14_2,Success,Succès
PlaySpace15_1,Self Esteem,Amour propre
PlaySpace15_2,Big Smile,Grand sourire
PlaySpace16_1,,
PlaySpace16_2,Confidence,Confiance
PlaySpace17_1,,
PlaySpace17_2,Good Judgment,Bon jugement
PlaySpace18_1,,
PlaySpace18_2,Take a Rest,Repose toi un peu
PlaySpace19_1,,
PlaySpace19_2,Respect,Le respect
PlaySpace20_1,Accident on Road,Accident sur route
PlaySpace20_2,Go Back 5 squares,Retour 5 carrés
PlaySpace21_1,Roll Again,Recommencez
PlaySpace21_2,Congratulations,Toutes nos félicitations
PlaySpace22_1,,
PlaySpace22_2,Big Dreams,Gros rêves
PlaySpace23_1,Detour,Deviation
PlaySpace23_2,Go Back 2 squares,Retour 2 carrés
PlaySpace24_1,,
PlaySpace24_2,Pride,Fierté
PlaySpace25_1,,
PlaySpace25_2,Satisfaction,la satisfaction
PlaySpace26_1,,
PlaySpace26_2,Compliments,Compliments
PlaySpace27_1,,
PlaySpace27_2,Admiration,Admiration
PlaySpace28_1,Roll Again,Recommencez
PlaySpace28_2,Feeling Special,Se sentir special
PlaySpace29_1,Self Esteem,Amour propre
PlaySpace29_2,Feeling Good,Se sentir bien
PlaySpace30_1,,
PlaySpace30_2,Make a Wish,Faire un vœu
PlaySpace31_1,,
PlaySpace31_2,Courage,Courage
PlaySpace32_1,Go Back 4 roll again,Revenez 4 rouler à nouveau
PlaySpace32_2,Goals,Buts
PlaySpace33_1,Finish,terminer
PlaySpace34_1,,
PlaySpace34_2,,
PlaySpace_Garage,Bud's Garage,Bud's Garage
PlaySpace_GotoGarage,Go to Bud's Garage,Aller à Bud's Garage
PlaySpace_PitStop,Barb & Ernie's Pit Stop,Barb et Ernie's Pit Stop
PlaySpace_GotoPitStop,Go to Barb & Ernie's,Allez à Barb et Ernie
PlaySpace_Snack,Irma's Snack & Rest,Irma's Snack & Rest
PlaySpace_GotoSnack,Go to Irma's Place,Aller à la place de Irma
PlaySpace_ShortCut,Short Cut,Coupe courte
,,
RollDice,Roll the Dice,Lancer les dés
Rolled,Rolled,Roulé
Click,Click to Continue,Cliquez pour continuer
Winner,Winner,Gagnant
GoBackGarage,Go Back to Garage,Retournez au garage
AccidentDesc,Talk about an 'accident' or when you were delayed or had to wait for something and then tell about what it feels like when you feel good about yourself.,Parlez d'un 'accident' ou lorsque vous avez été retardé ou avez dû attendre quelque chose et ensuite dire ce que vous ressentez lorsque vous vous sentez bien dans votre peau.
DetourDesc,Talk about a 'detour' you have had to take and then congratulate yourself or someone else.,Parlez d'un 'détour' que vous avez dû prendre et félicitez-vous ou quelqu'un d'autre.
GoalsDesc,Talk about a goal you have and then tell about something you feel special about.,Parlez d'un objectif que vous avez et parlez ensuite de quelque chose qui vous semble spécial.
GarageDesc,Talk about some problem you or somebody else had.,Parlez de certains problèmes que vous ou quelqu'un d'autre avez eu.
PitStopDesc,Talk about a time when you couldn't quite get what you wanted.,Parlez d'une époque où vous ne pouviez pas vraiment obtenir ce que vous vouliez.
StdSpaceDesc,Talk about or tell a story or 'enact' or demonstrate the concept:,Parler ou raconter une histoire ou 'adopter' ou démontrer le concept:
